"","fb_post_id","Topic_page","Topic","likes","comments","shares"
"659","1611313642367554","General","General",352,27,112
"660","1611174169048168","General","General",445,46,181
"661","1611127499052835","General","General",861,38,228
"662","1611067509058834","General","General",804,100,160
"663","1610663172432601","General","General",385,21,58
"664","1610532525778999","General","General",37,1,2
"665","1610456885786563","General","General",85,6,39
"666","1610272999138285","General","General",89,5,56
"667","1610104999155085","General","General",202,76,102
"668","1609379705894281","General","General",142,1,47
"669","1609222699243315","General","General",208,81,56
"670","1608463365985915","General","General",182,25,58
"671","1608304642668454","General","General",181,56,92
"672","1607555966076655","General","General",105,11,23
"673","1607408276091424","General","General",604,132,589
"674","1606686636163588","General","General",113,9,25
"675","1606540039511581","General","General",140,14,34
"676","1604172779748307","General","General",85,11,32
"677","1603907629774822","General","General",162,11,70
"678","1603875909777994","General","General",8,0,1
"679","1603751116457140","General","General",175,34,68
"680","1603022946529957","General","General",243,66,105
"681","1602864563212462","General","General",197,103,118
"682","1602378163261102","General","General",153,22,43
"683","1602161083282810","General","General",339,104,134
"684","1601915729974012","General","General",111,108,27
"685","1601481693350749","General","General",72,3,30
"686","1601151326717119","General","General",133,16,41
"687","1601096283389290","General","General",817,296,560
"688","1600987386733513","General","General",247,41,89
"689","1600557776776474","General","General",231,44,61
